id,name,median_age
40,Wagoner County,38
40,Washington County,40.5
40,Washita County,39.3
40,Woods County,34.8
40,Woodward County,36.4
41,Baker County,47.9
41,Benton County,32.3
41,Clackamas County,40.9
41,Clatsop County,43.7
41,Columbia County,42
41,Coos County,47.6
41,Crook County,46.8
41,Curry County,53.8
41,Deschutes County,40.8
41,Douglas County,46.4
41,Gilliam County,49.4
41,Grant County,50.5
41,Harney County,46.1
41,Hood River County,37.6
41,Jackson County,42.5
41,Jefferson County,40.2
41,Josephine County,47.5
42,Huntingdon County,41.9
42,Indiana County,38.7
42,Jefferson County,43.1
42,Juniata County,41.7
42,Lackawanna County,42.1
42,Lancaster County,38.2
42,Lawrence County,44
42,Lebanon County,41
42,Lehigh County,39.4
42,Luzerne County,42.8
42,Lycoming County,41.2
42,McKean County,42.2
42,Mercer County,43.1
42,Mifflin County,42.9
42,Monroe County,40.6
42,Montgomery County,40.8
42,Montour County,43.8
42,Northampton County,41.2
42,Northumberland County,43.4
42,Perry County,41.4
42,Philadelphia County,33.6
42,Pike County,44.8
42,Potter County,45
42,Schuylkill County,43.3
42,Snyder County,39.3
42,Somerset County,44.7
42,Sullivan County,50.5
42,Susquehanna County,45.5
42,Tioga County,42.4
42,Union County,38.5
42,Venango County,44.7
42,Warren County,45.5
42,Washington County,43.7
42,Wayne County,46
42,Westmoreland County,45.4
42,Wyoming County,42.4
42,York County,40.3
44,Bristol County,43.3
44,Kent County,43
44,Newport County,43.7
44,Providence County,37.1
44,Washington County,42.3
45,Abbeville County,42.8
45,Aiken County,40.3
46,Stanley County,40.7
46,Sully County,46.9
46,Todd County,23
46,Tripp County,44.8
46,Turner County,44
46,Union County,39.9
46,Walworth County,46.7
46,Yankton County,41.1
46,Ziebach County,26
47,Anderson County,42.6
47,Bedford County,36.9
47,Benton County,46.1
47,Bledsoe County,42.9
48,McMullen County,40.6
48,Madison County,34.1
48,Marion County,48.8
48,Martin County,34.2
48,Mason County,50.2
48,Matagorda County,37.7
48,Maverick County,29.9
49,Tooele County,30
49,Uintah County,29.7
49,Utah County,24.4
49,Wasatch County,31.9
49,Washington County,33.2
49,Wayne County,38.3
49,Weber County,31.3
50,Addison County,42.3
50,Bennington County,45.4
50,Caledonia County,42.5
50,Chittenden County,36.3
50,Essex County,47.4
50,Franklin County,39.7
50,Grand Isle County,46.3
50,Lamoille County,40.1
50,Orange County,44
50,Orleans County,44.3
51,Manassas city,32.4
51,Manassas Park city,32.3
51,Martinsville city,43.5
51,Newport News city,32.5
51,Norfolk city,29.8
51,Norton city,40.1
51,Petersburg city,39.5
51,Poquoson city,43.6
51,Portsmouth city,35.2
51,Radford city,22.1
51,Richmond city,32.6
51,Roanoke city,38.2
51,Salem city,40.1
51,Staunton city,42.3
51,Suffolk city,38.1
53,Stevens County,45.4
53,Thurston County,38.2
53,Wahkiakum County,50.3
53,Walla Walla County,37
53,Whatcom County,36.5
53,Whitman County,24
53,Yakima County,32.3
54,Barbour County,41
54,Berkeley County,38.1
54,Boone County,41.6
54,Braxton County,43.7
54,Brooke County,45.2
54,Cabell County,38.7
54,Calhoun County,45.8
54,Clay County,42.2
54,Doddridge County,43.2
54,Fayette County,42.9
54,Gilmer County,38
54,Grant County,44.7
54,Greenbrier County,44.9
54,Hampshire County,43.4
54,Hancock County,45.1
54,Hardy County,43.3
54,Harrison County,41.6
54,Jackson County,42
54,Jefferson County,39.2
54,Kanawha County,42.3
54,Lewis County,44
54,Lincoln County,41.7
54,Logan County,42.6
54,McDowell County,43.8
54,Marion County,41.4
54,Marshall County,44.2
54,Mason County,42.5
54,Mercer County,42.1
54,Mineral County,42.5
54,Mingo County,41.5
54,Monongalia County,29.6
54,Monroe County,45.8
55,Washington County,41.2
55,Waukesha County,42.4
55,Waupaca County,43.9
55,Waushara County,46.7
55,Winnebago County,37.7
55,Wood County,43.1
56,Albany County,27
56,Big Horn County,41.5
56,Campbell County,32.1
72,Yabucoa Municipio,37.6
72,Yauco Municipio,39.2
