parcelid,logerror,transactiondate,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,bedroomflag,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
10854446,0.3825,"Sunday, January 03, 2016",,,,2.0000,2.0000,false,,7.0000,2.0000,,,1417.0000,1417.0000,,,,,06037,,2.0000,,,,2,34164672.0000,-118477992.0000,8279.0000,,,,,,0100,261,LARE9,060371414.003003,12447,3101,51906,96426,0.0000,,,,1.0000,,,1954.0000,,,55396.0000,105954.0000,2015.0000,50558.0000,1443.6899,,,60371414003003
11672170,-0.0161,"Sunday, January 03, 2016",1,,,4.0000,5.0000,true,,1.0000,4.0000,,,3080.0000,3080.0000,,,,,06037,,4.0000,,,,2,34072220.0000,-118547320.0000,7052.0000,,,,,,0100,261,LAR1,060372626.011017,12447,3101,19810,96120,0.0000,,,,1.0000,,,1995.0000,,,559040.0000,1090127.0000,2015.0000,531087.0000,13428.9404,,,60372626011017
10949761,0.0344,"Sunday, January 03, 2016",,,,2.0000,3.0000,false,,7.0000,2.0000,,,1484.0000,1484.0000,,,,,06037,,2.0000,,,,7,34189804.0000,-118339184.0000,8214.0000,,,,,,0100,261,BUR1,060373110.001009,396054,3101,,96437,0.0000,,,,1.0000,,,1944.0000,,,29551.0000,70119.0000,2015.0000,40568.0000,832.3500,,,60373110001009
14665244,0.0816,"Sunday, January 03, 2016",,,,2.0000,2.0000,false,,,2.0000,,,1249.0000,1249.0000,,,,,06059,,2.0000,,,,,33670900.0000,-117844000.0000,,,,,,,1,266,,060590626.102122,52650,1286,273096,96947,0.0000,,,,,,,2005.0000,,,398747.0000,601000.0000,2015.0000,202253.0000,6876.7002,,,60590626102096
14148540,-0.0450,"Sunday, January 03, 2016",,,,2.0000,2.0000,false,,,2.0000,,,1367.0000,1367.0000,,,,,06059,1.0000,2.0000,2.0000,400.0000,,,33913332.0000,-117914144.0000,7626.0000,,,,,,122,261,,060590015.031046,17150,1286,,97035,6.0000,,,,,,,1955.0000,1.0000,,78565.0000,254817.0000,2015.0000,176252.0000,3192.2800,,,60590015031046
14057104,0.0020,"Sunday, January 03, 2016",5,,,2.0000,3.0000,false,,,2.0000,,,1302.0000,1302.0000,,,,,06059,1.0000,2.0000,2.0000,471.0000,,6,33676788.0000,-117950592.0000,6000.0000,,,,,,122,261,,060590992.162013,25218,1286,,96964,5.0000,,,,,,,1964.0000,1.0000,,89850.0000,345023.0000,2015.0000,255173.0000,4036.3201,,,60590992162013
17296797,0.0440,"Sunday, January 03, 2016",,,,2.5000,3.0000,false,,,2.5000,,981.0000,1558.0000,1558.0000,,,981.0000,,06111,1.0000,2.0000,2.0000,0.0000,,,34176360.0000,-118757592.0000,5662.0000,,,,,,1128,265,,061110074.052001,53655,2061,,96393,6.0000,,1.0000,,,,,1979.0000,2.0000,,168000.0000,480000.0000,2015.0000,312000.0000,6383.7402,,,61110074052001
12524288,-0.0419,"Sunday, January 03, 2016",,,,1.0000,1.0000,false,,7.0000,1.0000,,,597.0000,597.0000,,,,,06037,,1.0000,,,,2,33776400.0000,-118123000.0000,147471.0000,1.0000,,,,1,010E,266,LBR4R,060375748.002004,46298,3101,274961,96238,0.0000,,,,1.0000,,,1970.0000,,,56233.0000,70316.0000,2015.0000,14083.0000,913.1700,,,60375748002004
14091502,-0.0020,"Sunday, January 03, 2016",,,,2.0000,3.0000,false,,,2.0000,,,1321.0000,1321.0000,,,,,06059,,2.0000,2.0000,462.0000,,,33770148.0000,-118021280.0000,7200.0000,,,,,,122,261,,060590999.021008,34780,1286,,96990,6.0000,,,,,,,1957.0000,1.0000,,75119.0000,253138.0000,2015.0000,178019.0000,3329.1399,,,60590999021008
10815909,0.0100,"Sunday, January 03, 2016",1,,,3.0000,3.0000,false,,4.0000,3.0000,,,1727.0000,1727.0000,,,,,06037,,3.0000,,,,2,34164084.0000,-118528592.0000,6171.0000,,,,,,0100,261,LAR1,060371395.021007,12447,3101,47950,96379,0.0000,,,,1.0000,,,1950.0000,,,108985.0000,416279.0000,2015.0000,307294.0000,5194.0000,,,60371395021007
12453853,-0.0387,"Sunday, January 03, 2016",,,,1.0000,2.0000,false,,7.0000,1.0000,,,840.0000,840.0000,,,,,06037,,1.0000,,,,7,33858592.0000,-118188672.0000,4444.0000,,,,,,0100,261,LBR1N,060375703.031007,46298,3101,276476,96239,0.0000,,,,1.0000,,,1927.0000,,,122952.0000,260249.0000,2015.0000,137297.0000,3211.3101,,,60375703031007
14253461,0.0218,"Sunday, January 03, 2016",13,,,2.0000,2.0000,false,,,2.0000,,,1476.0000,1476.0000,,,,,06059,1.0000,2.0000,2.0000,437.0000,,,33754728.0000,-117838936.0000,4275.0000,,,,,,122,261,,060590754.031010,47568,1286,,97001,5.0000,,,,,,,1976.0000,1.0000,,109293.0000,258960.0000,2015.0000,149667.0000,3090.7200,,,60590754031010
14001034,0.0149,"Sunday, January 03, 2016",,,,2.0000,4.0000,true,,,2.0000,,,1430.0000,1430.0000,,,,,06059,1.0000,2.0000,2.0000,441.0000,,,33784648.0000,-118025456.0000,6000.0000,,,,,,122,261,,060591100.032002,24832,1286,,97052,7.0000,,,,,,,1962.0000,1.0000,,92991.0000,212077.0000,2015.0000,119086.0000,3020.2400,,,60591100032002
11458863,0.1151,"Sunday, January 03, 2016",,,,4.0000,3.0000,false,,4.0000,4.0000,,,3749.0000,3749.0000,,,,,06037,,4.0000,,,true,2,33969828.0000,-118396648.0000,10926.0000,,,1,,,0104,261,LAR1,060372770.005008,12447,3101,7877,96026,0.0000,,,,1.0000,,,1952.0000,,,319449.0000,1194279.0000,2015.0000,874830.0000,14747.9805,,,60372770005008
13957980,-0.1696,"Sunday, January 03, 2016",,,,2.5000,2.0000,false,,,2.5000,,,1213.0000,1213.0000,,,,,06059,,2.0000,2.0000,401.0000,,,33773336.0000,-117921600.0000,1665.0000,,,,,,122,261,,060590885.012000,24832,1286,,97050,0.0000,,1.0000,,,,,1998.0000,,,157171.0000,335790.0000,2015.0000,178619.0000,4269.8999,,,60590885012000
12752047,-0.0440,"Sunday, January 03, 2016",1,,,4.0000,3.0000,false,,7.0000,4.0000,,,1875.0000,1875.0000,,,,,06037,,4.0000,,,,2,33901560.0000,-118009608.0000,8247.0000,,,,,,0100,261,LMR1,060375038.023004,5465,3101,,96190,0.0000,,,,1.0000,,,1955.0000,,,154186.0000,239456.0000,2015.0000,85270.0000,3249.3701,,,60375038023004
11188425,-0.0747,"Sunday, January 03, 2016",1,,,2.0000,2.0000,false,,4.0000,2.0000,,,1302.0000,1302.0000,,,,,06037,,2.0000,,,,2,34598116.0000,-118154872.0000,6676.0000,,,,,,0100,261,PDRPD6.6U,060379102.081016,40227,3101,,97329,0.0000,,,,1.0000,,,1986.0000,,,80600.0000,174000.0000,2015.0000,93400.0000,3895.7600,,,60379102081016
14646051,0.0080,"Sunday, January 03, 2016",,,,2.5000,2.0000,false,,,2.5000,,,1858.0000,1858.0000,,,,,06059,,2.0000,1.0000,0.0000,,6,33486586.0000,-117722056.0000,,1.0000,,,,1,34,266,,060590423.242006,17686,1286,,96961,5.0000,,1.0000,6,,,,1973.0000,2.0000,true,145291.0000,825000.0000,2015.0000,679709.0000,9553.5596,,,60590423242006
10805063,0.0010,"Sunday, January 03, 2016",1,,,2.0000,2.0000,false,,4.0000,2.0000,,,1045.0000,1045.0000,,,,,06037,,2.0000,,,,2,34167800.0000,-118522000.0000,43599.0000,1.0000,,,,1,010E,266,LAR3,060371395.041001,12447,3101,51906,96349,0.0000,,,,1.0000,,,1966.0000,,,135218.0000,250245.0000,2015.0000,115027.0000,3117.1899,,,60371395041001
12524725,-0.0534,"Sunday, January 03, 2016",,,,3.0000,2.0000,false,,4.0000,3.0000,,,1329.0000,1329.0000,,,,,06037,,3.0000,,,,2,33780400.0000,-118141000.0000,8051.0000,,,,,,010C,266,LBR4N,060375770.005003,46298,3101,273567,96238,0.0000,,,,1.0000,,,1983.0000,,,117504.0000,215097.0000,2015.0000,97593.0000,2648.9600,,,60375770005003
11104966,-0.0398,"Sunday, January 03, 2016",,,,2.0000,4.0000,true,,7.0000,2.0000,,,1144.0000,1144.0000,,,,,06037,,2.0000,,,,2,34418208.0000,-118468960.0000,5633.0000,1.0000,,,,1,0100,261,SCUR2,060379200.352005,54311,3101,37739,96374,0.0000,,,,1.0000,,,1961.0000,,,176891.0000,335093.0000,2015.0000,158202.0000,4499.0298,,,60379200352005
11624877,-0.0294,"Sunday, January 03, 2016",1,,,2.0000,2.0000,false,,1.0000,2.0000,,,1422.0000,1422.0000,,,,,06037,,2.0000,,,,2,34057040.0000,-118403960.0000,6391.0000,,,,,,010C,266,LAR3,060372690.004005,10389,3101,,96088,0.0000,,,,1.0000,,,1981.0000,,,202000.0000,673000.0000,2015.0000,471000.0000,8048.1802,,,60372690004005
12440314,0.0208,"Sunday, January 03, 2016",,,,2.0000,3.0000,false,,7.0000,2.0000,,,1631.0000,1631.0000,,,,,06037,,2.0000,,,,7,33815676.0000,-118098712.0000,5646.0000,1.0000,,,,1,0101,261,LBR1N,060375740.004006,46298,3101,416320,96242,0.0000,,,,1.0000,,,1953.0000,,,176825.0000,334392.0000,2015.0000,157567.0000,4128.5801,,,60375740004006
12037577,-0.0233,"Sunday, January 03, 2016",1,,,2.0000,3.0000,false,,4.0000,2.0000,,,1782.0000,1782.0000,,,,,06037,,2.0000,,,,2,34108080.0000,-118278296.0000,5999.0000,,,,,,0100,261,LAR1,060371952.021001,12447,3101,274359,96008,0.0000,,,,1.0000,,,1927.0000,,,139259.0000,473801.0000,2015.0000,334542.0000,5832.1899,,,60371952021001
11024002,0.0266,"Sunday, January 03, 2016",,,,3.0000,3.0000,false,,7.0000,3.0000,,,1847.0000,1847.0000,,,,,06037,,3.0000,,,,7,34249528.0000,-118418104.0000,7799.0000,,,,,,0100,261,LAR1,060371048.212002,12447,3101,40215,96361,0.0000,,,,1.0000,,,1953.0000,,,111929.0000,325129.0000,2015.0000,213200.0000,4172.0801,,,60371048212002
10777209,-0.0222,"Sunday, January 03, 2016",,,,1.0000,3.0000,false,,7.0000,1.0000,,,1420.0000,1420.0000,,,,,06037,,1.0000,,,,7,34207184.0000,-118524992.0000,9045.0000,,,,,,0100,261,LAR1,060371318.001006,12447,3101,40548,96364,0.0000,,,,1.0000,,,1948.0000,,,52254.0000,261169.0000,2015.0000,208915.0000,3398.7000,,,60371318001006
14022628,-0.0274,"Sunday, January 03, 2016",,,,2.0000,4.0000,true,,,2.0000,,,1202.0000,1202.0000,,,,,06059,,2.0000,2.0000,400.0000,,,33712676.0000,-117877568.0000,6500.0000,1.0000,,,,1,122,261,,060590740.051012,47568,1286,268509,97007,8.0000,,,,,,,1955.0000,1.0000,,62646.0000,394474.0000,2015.0000,331828.0000,6004.6201,,,60590740051012
14195954,-0.0010,"Sunday, January 03, 2016",13,,,2.0000,4.0000,true,,,2.0000,,,2319.0000,2319.0000,,,,,06059,1.0000,2.0000,3.0000,775.0000,,,33898716.0000,-117774464.0000,9760.0000,,,,,,122,261,,060590218.242004,21412,1286,,97078,8.0000,,,,,,,1979.0000,1.0000,,181956.0000,584027.0000,2015.0000,402071.0000,7186.5000,,,60590218242004
12339438,0.0526,"Sunday, January 03, 2016",,,,1.0000,2.0000,false,,7.0000,1.0000,,,640.0000,640.0000,,,,,06037,,1.0000,,,,7,33905332.0000,-118152448.0000,4376.0000,,,,,,0100,261,PAR1YY,060375535.041005,6395,3101,,96220,0.0000,,,,1.0000,,,1946.0000,,,44834.0000,182891.0000,2015.0000,138057.0000,2481.3501,,,60375535041005
14022972,-0.0481,"Sunday, January 03, 2016",,,,2.0000,3.0000,false,,,2.0000,,,1431.0000,1431.0000,,,,,06059,,2.0000,1.0000,380.0000,,,33713536.0000,-117885968.0000,6000.0000,,,,,,122,261,,060590741.113000,47568,1286,275738,97004,6.0000,,,,,,,1965.0000,1.0000,,39774.0000,62084.0000,2015.0000,22310.0000,1047.3800,,,60590741113000
11921507,0.0411,"Sunday, January 03, 2016",,,,3.0000,3.0000,false,,4.0000,3.0000,,,2580.0000,2580.0000,,,,,06037,,3.0000,,,,2,34137348.0000,-118085376.0000,31642.0000,1.0000,,,,1,0101,261,PSR2,060374632.002014,47019,3101,275426,96295,0.0000,,,,1.0000,,,1948.0000,,,90352.0000,143162.0000,2015.0000,52810.0000,2108.0100,,,60374632002014
14055759,0.0237,"Sunday, January 03, 2016",,,,2.0000,4.0000,true,,,2.0000,,,1540.0000,1540.0000,,,,,06059,1.0000,2.0000,2.0000,440.0000,,,33672512.0000,-117977048.0000,6441.0000,,,,,,122,261,,060590992.461010,25218,1286,,96964,7.0000,,,,,,,1972.0000,1.0000,,44904.0000,71436.0000,2015.0000,26532.0000,1125.4200,,,60590992461010
14337898,-0.0060,"Sunday, January 03, 2016",,,,2.5000,3.0000,false,,,2.5000,,,1963.0000,1963.0000,,,,,06059,,2.0000,2.0000,482.0000,,,33787440.0000,-117768392.0000,5000.0000,,,,,,122,261,,060590756.052012,33252,1286,,97067,0.0000,,1.0000,,,,,1987.0000,,,183748.0000,315989.0000,2015.0000,132241.0000,4215.4800,,,60590756052012
10984360,0.0411,"Sunday, January 03, 2016",,,,2.0000,4.0000,true,,7.0000,2.0000,,,1150.0000,1150.0000,,,,,06037,,2.0000,,,,2,34280212.0000,-118407192.0000,7552.0000,,,,,,0100,261,LAR1,060371042.031001,12447,3101,40215,96361,0.0000,,,,1.0000,,,1956.0000,,,101800.0000,330000.0000,2015.0000,228200.0000,4205.4302,,,60371042031001
11708989,-0.0910,"Sunday, January 03, 2016",,,,1.0000,3.0000,false,,7.0000,1.0000,,,1457.0000,1457.0000,,,,,06037,,1.0000,,,,,34009264.0000,-118313088.0000,6358.0000,,,,,,0100,261,LAR1,060372315.003003,12447,3101,118208,96043,0.0000,,,,1.0000,,,1912.0000,,,28576.0000,119375.0000,2015.0000,90799.0000,3668.1399,,,60372315003003
14008449,0.0450,"Sunday, January 03, 2016",,,,3.0000,4.0000,true,,,3.0000,,,2401.0000,2401.0000,,,,,06059,,3.0000,2.0000,440.0000,,,33802796.0000,-117970384.0000,3464.0000,,,,,,1,261,,060590880.021003,24832,1286,,97048,0.0000,,,,,,,2005.0000,,,322700.0000,526272.0000,2015.0000,203572.0000,6517.7402,,,60590880021003
10812783,0.0402,"Sunday, January 03, 2016",1,,,4.0000,5.0000,true,,4.0000,4.0000,,,3623.0000,3623.0000,,,,,06037,,4.0000,,,,2,34156052.0000,-118567664.0000,14186.0000,1.0000,,,,1,0101,261,LARE40,060371375.041000,12447,3101,48570,96387,0.0000,,,,1.0000,,,1972.0000,,,279000.0000,1151000.0000,2015.0000,872000.0000,15264.6504,,,60371375041000
14389517,0.0450,"Sunday, January 03, 2016",13,,,5.0000,4.0000,true,,,5.0000,,,4537.0000,4537.0000,,,,,06059,,5.0000,2.0000,595.0000,,,33588880.0000,-117684800.0000,14950.0000,1.0000,,,,1,122,261,,060590423.281011,25458,1286,,96971,8.0000,,,,,,,1980.0000,2.0000,,386620.0000,961905.0000,2015.0000,575285.0000,10009.0000,,,60590423281011
11874881,-0.0367,"Sunday, January 03, 2016",,,,2.0000,3.0000,false,,7.0000,2.0000,,,1250.0000,1250.0000,,,,,06037,,2.0000,,,,2,34094940.0000,-118180744.0000,7513.0000,,,,,,0100,261,LAR1,060372013.021002,12447,3101,114914,96013,0.0000,,,,1.0000,,,1955.0000,,,55039.0000,208692.0000,2015.0000,153653.0000,5523.7998,,,60372013021002
12859348,-0.0408,"Sunday, January 03, 2016",,,,2.0000,4.0000,true,,4.0000,2.0000,,,2054.0000,2054.0000,,,,,06037,,2.0000,,,,2,33993440.0000,-117819432.0000,7763.0000,1.0000,,,,1,0101,261,LCR18000,060374033.233021,24384,3101,,96505,0.0000,,,,1.0000,,,1970.0000,,,220413.0000,300987.0000,2015.0000,80574.0000,3754.8201,,,60374033233021
12885665,0.0159,"Sunday, January 03, 2016",,,,1.0000,3.0000,false,,7.0000,1.0000,,,1164.0000,1164.0000,,,,,06037,,1.0000,,,,7,34045912.0000,-117771120.0000,6981.0000,1.0000,,,,1,0101,261,POR16000,060374030.003006,20008,3101,,96506,0.0000,,,,1.0000,,,1947.0000,,,49283.0000,163936.0000,2015.0000,114653.0000,2245.9299,,,60374030003006
12934834,0.0060,"Sunday, January 03, 2016",1,,,3.0000,4.0000,true,,4.0000,3.0000,,,2590.0000,2590.0000,,,,,06037,,3.0000,,,,2,34068728.0000,-117823312.0000,13110.0000,1.0000,,,,1,0100,261,SDSFH,060374013.031011,33836,3101,,96513,0.0000,,,,1.0000,,,1988.0000,,,326000.0000,905100.0000,2015.0000,579100.0000,10583.5498,,,60374013031011
14077187,-0.0171,"Sunday, January 03, 2016",,,,2.0000,3.0000,false,,,2.0000,,,1362.0000,1362.0000,,,,,06059,,2.0000,2.0000,462.0000,,,33712716.0000,-117939176.0000,5100.0000,,,,,,122,261,,060590992.291008,8384,1286,,97008,7.0000,,,,,,,1968.0000,1.0000,,87166.0000,324796.0000,2015.0000,237630.0000,3767.1399,,,60590992291008
14693306,0.0344,"Sunday, January 03, 2016",,,,2.5000,2.0000,false,,,2.5000,,,1381.0000,1381.0000,,,,,06059,,2.0000,1.0000,0.0000,,,33881040.0000,-117966472.0000,,,,,,,34,266,,060591106.053003,24812,1286,,97041,0.0000,,1.0000,,,,,1983.0000,,,137169.0000,221868.0000,2015.0000,84699.0000,2706.6201,,,60591106053003
13892813,0.0639,"Sunday, January 03, 2016",,,,5.5000,5.0000,true,,,5.5000,,,5516.0000,5516.0000,,,,,06059,,5.0000,3.0000,753.0000,true,,33610428.0000,-117901104.0000,6591.0000,,,1,,,122,261,,060590630.051005,53571,1286,,96978,6.0000,,1.0000,,,,,1994.0000,3.0000,,1317184.0000,5754844.0000,2015.0000,4437660.0000,61668.8789,,,60590630051005
11510907,0.0639,"Sunday, January 03, 2016",,,,2.0000,2.0000,false,,4.0000,2.0000,,,1137.0000,1137.0000,,,,,06037,,2.0000,,,,2,33865272.0000,-118397144.0000,7965.0000,,,,,,010C,266,HBR3YY,060376210.042002,29712,3101,,96109,0.0000,,,,1.0000,,,1989.0000,,,211236.0000,450376.0000,2015.0000,239140.0000,5034.9399,,,60376210042002
11519155,0.0573,"Sunday, January 03, 2016",,,,4.0000,5.0000,true,,7.0000,4.0000,,,3088.0000,,,3088.0000,,,06037,,4.0000,,,,,34022328.0000,-118386704.0000,5934.0000,,,,,,0200,246,CCR2YY,060377024.001007,51617,3101,762187,96097,0.0000,,,,2.0000,,,1964.0000,,,173092.0000,548138.0000,2015.0000,375046.0000,7931.1401,,,60377024001007
14365990,0.0276,"Sunday, January 03, 2016",13,,,2.5000,3.0000,false,,,2.5000,,,1808.0000,1808.0000,,,,,06059,,2.0000,2.0000,441.0000,,,33657752.0000,-117674984.0000,5000.0000,,,,,,122,261,,060590524.253000,32380,1286,,96962,7.0000,,1.0000,,,,,1981.0000,2.0000,,140093.0000,478656.0000,2015.0000,338563.0000,5122.1401,,,60590524253000
11403600,-0.1497,"Sunday, January 03, 2016",,,,2.0000,2.0000,false,,7.0000,2.0000,,,1084.0000,1084.0000,,,,,06037,,2.0000,,,,7,33962616.0000,-118360632.0000,5005.0000,,,,,,0100,261,INR4,060376012.112006,45888,3101,,96133,0.0000,,,,1.0000,,,1923.0000,,,84730.0000,129113.0000,2015.0000,44383.0000,2054.3101,,,60376012112006
12086710,0.0760,"Monday, January 04, 2016",1,,,2.0000,2.0000,false,,4.0000,2.0000,,,991.0000,991.0000,,,,,06037,,2.0000,,,,2,34139900.0000,-118232000.0000,29725.0000,1.0000,,,,1,010E,266,,060373021.021002,45457,3101,275396,96324,0.0000,,,,1.0000,,,1974.0000,,,82173.0000,108255.0000,2015.0000,26082.0000,1186.5200,,,60373021021002
14030226,-0.0481,"Monday, January 04, 2016",,,,2.0000,4.0000,true,,,2.0000,,,1445.0000,1445.0000,,,,,06059,,2.0000,2.0000,440.0000,,,33739360.0000,-117960160.0000,6000.0000,,,,,,122,261,,060590992.232005,34780,1286,,96990,7.0000,,,,,,,1963.0000,1.0000,,41819.0000,62165.0000,2015.0000,20346.0000,1215.4600,,,60590992232005
12701128,0.2119,"Monday, January 04, 2016",,,,3.0000,4.0000,true,,4.0000,3.0000,,,2497.0000,2497.0000,,,,,06037,,3.0000,,,,2,33720476.0000,-118320256.0000,11425.0000,,,,,,0100,261,LAR1,060372974.002019,12447,3101,54300,96222,0.0000,,,,1.0000,,,1961.0000,,,82926.0000,442308.0000,2015.0000,359382.0000,5819.3799,,,60372974002019
14632504,0.0109,"Monday, January 04, 2016",,,,2.0000,2.0000,false,,,2.0000,,,1110.0000,1110.0000,,,,,06059,,2.0000,1.0000,0.0000,,,33647048.0000,-117590608.0000,,,,,,,34,266,,060590320.513005,15554,1286,,96993,0.0000,,,,,,,1989.0000,,,125203.0000,241654.0000,2015.0000,116451.0000,3157.3000,,,60590320513005
12932190,-0.0010,"Monday, January 04, 2016",,,,2.0000,3.0000,false,,4.0000,2.0000,,,1537.0000,1537.0000,,,,,06037,,2.0000,,,,2,34081552.0000,-117874512.0000,8336.0000,,,,,,0100,261,CVR17500,060374036.004015,24245,3101,,96474,0.0000,,,,1.0000,,,1960.0000,,,87965.0000,325361.0000,2015.0000,237396.0000,4234.8198,,,60374036004015
14696295,0.0000,"Monday, January 04, 2016",,,,2.0000,2.0000,false,,,2.0000,,,1344.0000,1344.0000,,,,,06059,,2.0000,2.0000,0.0000,,,33842976.0000,-117787960.0000,,,,,,,34,266,,060590219.161006,16764,1286,113455,97026,0.0000,,,,,,,1979.0000,,,133631.0000,418161.0000,2015.0000,284530.0000,4727.7798,,,60590219161011
