Source,Target
JakeP,BayNature
JakeP,jbarlekamp
JakeP,POTUS44
JakeP,POTUS
JakeP,LosFelizDaycare
JakeP,TerbilDraems
JakeP,rubbishdrawings
JakeP,NeutralGroundCo
JakeP,ScoutAlarm
JakeP,message
JakeP,blankonblank
JakeP,USDS
JakeP,SFBARTalert
JakeP,GoogleDesign
kimisperros,ATLUTD
kimisperros,AdonisGeorgiadi
kimisperros,timnitGebru
kimisperros,pabbeel
kimisperros,arankhanna
kimisperros,paperpile
kimisperros,lxbrun
kimisperros,facebook
kimisperros,loconte
kimisperros,FBaldimtsi
kimisperros,hseas
kimisperros,OdedGreen
kimisperros,AmirSariri
kimisperros,nberpubs
kimisperros,hellojas
kimisperros,GoogleBrain
kimisperros,jasonyo
kimisperros,andrewgwils
kimisperros,adamgdunn
kimisperros,erichorvitz
Prof_DavidBader,ChristiKeller10
Prof_DavidBader,RocketCaley
Prof_DavidBader,bobehayes
Prof_DavidBader,gp_pulipaka
Prof_DavidBader,SachinLulla
Prof_DavidBader,GHC_Committee
Prof_DavidBader,happybandits
Prof_DavidBader,andy_lucerne
Prof_DavidBader,joelsebold
Prof_DavidBader,pmalik1
Prof_DavidBader,sethwpreston
Prof_DavidBader,Melodie_Rush
Prof_DavidBader,Fredklein1166
Prof_DavidBader,TCalvio
Prof_DavidBader,yahyaj_tn
Prof_DavidBader,david_w_mayer
Prof_DavidBader,RosanaFerrero
Prof_DavidBader,torrija
Prof_DavidBader,nabilbeit
Prof_DavidBader,bdirking
jonfroehlich,jemelehill
jonfroehlich,JohnAlexander
jonfroehlich,rameses888
jonfroehlich,rajakushalnagar
jonfroehlich,jesshami
jonfroehlich,ProactiveSleep
jonfroehlich,HandicapThis
jonfroehlich,PoloChau
jonfroehlich,AbeDavis
jonfroehlich,graydesign
jonfroehlich,DavidNemer
jonfroehlich,yasssjasss
jonfroehlich,vj_chidambaram
jonfroehlich,thompsonpat
jonfroehlich,User1st
jonfroehlich,bendevane
jonfroehlich,AMAC_tweet
jonfroehlich,MikeySaugstad
jonfroehlich,ahaAtARO
jonfroehlich,saiphcita
ibogost,SilverbergDave
ibogost,jenn_rossmann
ibogost,nora_kelly
ibogost,priscialva
ibogost,Tanvim
ibogost,davidzweig
ibogost,lindsaygellman
ibogost,slaskow
ibogost,lauraelizdavis
ibogost,UrbanLandInst
ibogost,kaitlinofficial
ibogost,coralsncaves
ibogost,dezeen
ibogost,iconeye
ibogost,Gastropodcast
ibogost,blueprintmag
ibogost,nicolatwilley
ibogost,tucker_ft
ibogost,tsmullaney
ibogost,markrobsf
khusape,dpravi799
khusape,audiogyan
khusape,sbyrnes
khusape,kumrr
khusape,harrybr
khusape,glennsolomon
khusape,caldbeckj
khusape,meseali
khusape,pranjal_1981
khusape,vijaya
khusape,kcoleman
khusape,ArlanWasHere
khusape,sidpandey
khusape,djtokyo
khusape,rohitjain
khusape,mukuls97
khusape,NavinChaddha
khusape,hitobs
khusape,dkhare
khusape,leotor
TheNextCorner,CBSSF
TheNextCorner,kron4news
TheNextCorner,KTVU
TheNextCorner,abc7newsbayarea
TheNextCorner,nbcbayarea
TheNextCorner,mercnews
TheNextCorner,WazeTrafficSF
TheNextCorner,JonathanWilbur
TheNextCorner,ChristiJOlson
TheNextCorner,ChristiJBOlson
TheNextCorner,NWSBayArea
TheNextCorner,MoneyLynch
TheNextCorner,HSBC
TheNextCorner,TheJudge44
TheNextCorner,farmshelf
TheNextCorner,elguapo
TheNextCorner,thecounter
TheNextCorner,jaychoag
TheNextCorner,woodymarshall
TheNextCorner,TCVTech
zkancs,AuthorityLabs
zkancs,girlie_mac
zkancs,b0rk
zkancs,LauraBehrensWu
zkancs,BlackGirlsCode
zkancs,sheplusplus
zkancs,portainerio
zkancs,KnowYourCompany
zkancs,cjlew23
zkancs,sxywu
zkancs,alignedleft
zkancs,tdda0
zkancs,NodeSource
zkancs,zzbennett
zkancs,stitchfix_algo
zkancs,reworkpodcast
zkancs,janexwang
zkancs,rsalakhu
zkancs,nalkalchbrenner
zkancs,OriolVinyalsML
ddol,Arubin
ddol,JamesTamplin
ddol,VelodyneLidar
ddol,CorrectNames
ddol,Kernasovskiy
ddol,aristeinberg
ddol,fivetentaylor
ddol,thereaIbanksy
ddol,kimmaicutler
ddol,atlasobscura
ddol,migueldeicaza
ddol,fredwilson
ddol,davemcclure
ddol,arstechnica
ddol,Voxitay
ddol,ConanOBrien
ddol,NASA
ddol,StephenAtHome
ddol,bballinger
ddol,CaseyNeistat
CptPositive,aclear
CptPositive,scottOfTheSci
CptPositive,shaunkane
CptPositive,jure
CptPositive,EatClubOrg
CptPositive,MenInBlazers
CptPositive,jofish
CptPositive,ayman
CptPositive,informor
CptPositive,lanayarosh
CptPositive,jwiese
CptPositive,NGorm
CptPositive,gillianrhayes
CptPositive,aninddey
CptPositive,marlowja
CptPositive,AndyRichter
CptPositive,ACMUIST
CptPositive,bigdata4people
CptPositive,WillJosephCook
CptPositive,manwhohasitall
GTRI,tweeplers
GTRI,VAVetBenefits
GTRI,DeptVetAffairs
GTRI,stampshealth
GTRI,FerstCenter
GTRI,CarolineGWood
GTRI,SSEFGeorgia
GTRI,BuildingIoT
GTRI,NetOfEverything
GTRI,iotconsortium
GTRI,TheIoT
GTRI,carolrclark
GTRI,ConversationEDU
GTRI,Alltop
GTRI,FromTheLabBench
GTRI,BuzzHootRoar
GTRI,ConversationUS
GTRI,duvall_jd2
GTRI,C4ISRNET
GTRI,PhysicsCentral
kedwards,NotAltWorld
kedwards,BarackObama
kedwards,HalfOnionInABag
kedwards,cursedimages
kedwards,internetofshit
kedwards,clmazin
kedwards,Snowden
kedwards,Oatmeal
kedwards,hcdeUW
kedwards,AwardsDarwin
kedwards,colin2sheds
kedwards,blairmacintyre
kedwards,GeorgiaTech
kedwards,ryangravel
kedwards,professorBodker
kedwards,beltlinepiper
kedwards,andrewmiller
kedwards,verbicidal
kedwards,asbruckman
kedwards,GavinNewsom
goodfellow_ian,RoyaMahboob
goodfellow_ian,vmcheung
goodfellow_ian,elianalorch
goodfellow_ian,johncoogan
goodfellow_ian,neilhimself
goodfellow_ian,indicoData
goodfellow_ian,geoffreyirving
goodfellow_ian,gstsdn
goodfellow_ian,cjmaddison
goodfellow_ian,machinaut
goodfellow_ian,yeewhye
goodfellow_ian,robertskmiles
goodfellow_ian,rivatez
goodfellow_ian,gyomalin_ML
goodfellow_ian,VitalikButerin
goodfellow_ian,TheGradient
goodfellow_ian,lschmidt3
goodfellow_ian,aleks_madry
goodfellow_ian,SwiftOnSecurity
goodfellow_ian,internetofshit
dennybritz,tuntuku_sy
dennybritz,fabinger
dennybritz,keunwoochoi
dennybritz,MehdiShibahara
dennybritz,shimon8282
dennybritz,quantombone
dennybritz,VahidK
dennybritz,yablak
dennybritz,HirokoTabuchi
dennybritz,cinjoncin
dennybritz,LauraDeming
dennybritz,Samuel_DavidA
dennybritz,TheRealBenBall
dennybritz,lukede0
dennybritz,animesh_garg
dennybritz,mpd37
dennybritz,KaiLashArul
dennybritz,sbmckeon
dennybritz,lishali88
dennybritz,Img_Prasanna
MattandMattPod,SamForDaWin
fatla1995,SamForDaWin
KatieNolan33,SamForDaWin
AaronSolender86,SamForDaWin
StephanieFarri9,SamForDaWin
maddielee419,SamForDaWin
YaBoiHudson,SamForDaWin
WePlayLean,SamForDaWin
mwysocki93,SamForDaWin
mikeyeps,SamForDaWin
rishippatel3,SamForDaWin
ShitEprightSays,SamForDaWin
tedge99,SamForDaWin
_CJx32_,SamForDaWin
TFL2015,SamForDaWin
spookysadness,SamForDaWin
AnayNawathe,SamForDaWin
mattzerkus,SamForDaWin
qcampbell3,SamForDaWin
rx_linguist,severinhacker
deanwithey,severinhacker
l__sahar,severinhacker
El_Luigi_V,severinhacker
Sandeepcristi,severinhacker
bbonesmo,severinhacker
arnaldohcastro,severinhacker
theceolibrary,severinhacker
LudoLatin,severinhacker
BarAlc58,severinhacker
TheG_Type,severinhacker
ArchAngelLPV,severinhacker
burculantonija,severinhacker
AdityaA19118052,severinhacker
RaffMisceo,severinhacker
MikeCaps,severinhacker
AwesomePittsbgh,severinhacker
hackernewsbot_,severinhacker
AlexKlarfeld,severinhacker
LLevasseur75,severinhacker
mwgass,albertocairo
stanczykoo,albertocairo
algorythmes,albertocairo
ytnk3a_to_study,albertocairo
pikkus,albertocairo
WinstonVuong,albertocairo
1telbis,albertocairo
PaulEfrenSantos,albertocairo
_WaylonWalker,albertocairo
southpolecoffee,albertocairo
cbarriosmodeler,albertocairo
acastroaraujo,albertocairo
TheStagHunt,albertocairo
faze___2,albertocairo
Rguez_Cabrera,albertocairo
ireneserrano,albertocairo
clarksteele,albertocairo
6sigmaguru,albertocairo
SimonBeaumont04,albertocairo
chaidiradlan,albertocairo
johnrampton,FisherDanyel
AmbassadorCOO,FisherDanyel
flekschas,FisherDanyel
ken_hinckley,FisherDanyel
hmlizama,FisherDanyel
CatchKD7,FisherDanyel
jawalnut,FisherDanyel
yanlofe,FisherDanyel
philogb,FisherDanyel
SeattleHarvest,FisherDanyel
nickyzhi123,FisherDanyel
univienna_vda,FisherDanyel
minsukkahng,FisherDanyel
JennyRLyons,FisherDanyel
amitkaps,FisherDanyel
namwkim85,FisherDanyel
pciuccarelli,FisherDanyel
Metti_Hoof,FisherDanyel
nikiubel,FisherDanyel
ShivaniAurora,LMNault
darksunshinedee,LMNault
ericsimons,LMNault
James044Brian,LMNault
ubikretail,LMNault
UXsnack,LMNault
venture12,LMNault
goshospain,LMNault
missiongirl4,LMNault
shodoshan,LMNault
LisaDOhio,LMNault
NoeticSeries,LMNault
LoveNVRDiesBook,LMNault
ipevzner,LMNault
nelsonmarteleir,LMNault
martinlong82,LMNault
mrpderbs,LMNault
banerjee_mamata,LMNault
cindycated,LMNault
andysz,adarrow
kplusr2,adarrow
UXsnack,adarrow
Antonioflpalenc,adarrow
kenudigit,adarrow
delcarpio321,adarrow
rideamigos,adarrow
neela_bell,adarrow
bethgalambos,adarrow
BrittneyBush,adarrow
wrdarrow,adarrow
ModusInstitute,adarrow
zaidhisham,adarrow
peacokle,adarrow
banerjee_mamata,adarrow
Nonnormalizable,adarrow
LaurentJanolin,adarrow
BurlinBritta,adarrow
Phooj,adarrow
peeber_pan,JakeP
coachdotme,JakeP
ElenaWerdath,JakeP
hazeshanshan,JakeP
Africa_VC,JakeP
lottisbp,JakeP
SouthCountyIzik,JakeP
baymonsters,JakeP
cruzisabela995,JakeP
figipyzimapu,JakeP
jbarlekamp,JakeP
PeeringPressure,JakeP
ngoclongnguyen3,JakeP
MountainLionP22,JakeP
RayBeau,JakeP
banerjee_mamata,JakeP
CrowdTMeeting,JakeP
adb19a44f36c456,JakeP
hungviet2004,JakeP
devsmqueue2,kimisperros
Face_adventure,kimisperros
WoolAllure,kimisperros
adamgdunn,kimisperros
nuclearkatie,kimisperros
BeadedJewlery,kimisperros
OscarJetson,kimisperros
SyidMassiah,kimisperros
WoodFlipbook,kimisperros
sethmessenger32,kimisperros
appliedmldays,kimisperros
minsukkahng,kimisperros
KaterinaElRaheb,kimisperros
Prof_DavidBader,kimisperros
danlizotte,kimisperros
ilknurkabul,kimisperros
junayedjion9,kimisperros
ryanallred,kimisperros
Tobias_Grosser,kimisperros
hartray7,Prof_DavidBader
SofianeSarni,Prof_DavidBader
mechtaly,Prof_DavidBader
g_evtushenko,Prof_DavidBader
overclockdlemon,Prof_DavidBader
HopwoodMedia,Prof_DavidBader
hansel_v,Prof_DavidBader
Gasmart81,Prof_DavidBader
LorenaABarba,Prof_DavidBader
dan_schaefler,Prof_DavidBader
colliand,Prof_DavidBader
GneissShorts,Prof_DavidBader
Rishik_P,Prof_DavidBader
AhmedOmarEissa,Prof_DavidBader
AvolynFisher,Prof_DavidBader
andy_lucerne,Prof_DavidBader
DRSALT6,Prof_DavidBader
mathz_aragao,Prof_DavidBader
Data_Machines,Prof_DavidBader
_lKatherine,Prof_DavidBader
redgreentreeapp,jonfroehlich
DConf2018,jonfroehlich
CarlSetzer,jonfroehlich
OpenSourceLab20,jonfroehlich
heorv,jonfroehlich
tentacleseal,jonfroehlich
JohnAlexander,jonfroehlich
markjamatthews,jonfroehlich
Gridbee,jonfroehlich
convoluted_code,jonfroehlich
datuixx,jonfroehlich
aneja_ap,jonfroehlich
rameses888,jonfroehlich
rajakushalnagar,jonfroehlich
skateprofessor,jonfroehlich
RollingWOLimits,jonfroehlich
developerach,jonfroehlich
bookofinnov,jonfroehlich
jwkritchie,jonfroehlich
We_are_upstart,jonfroehlich
brokedickboy,ibogost
biomax2013,ibogost
abelsunces,ibogost
justinlucent,ibogost
night_review,ibogost
TheSmurfyGamers,ibogost
_running_amuck,ibogost
EarlLundquist,ibogost
goS0MA,ibogost
dangerkido,ibogost
rogue_allah,ibogost
SmartUrbanite,ibogost
THiNGkeriNG,ibogost
golp,ibogost
Noneed4pantzthx,ibogost
Malaussene,ibogost
TheresaLongo,ibogost
pgrontas,ibogost
lucy_fords_twin,ibogost
debedb,ibogost
AnaClaraarmeli,khusape
HarvinderKour7,khusape
urbaneparent,khusape
Gopal000786,khusape
ManojSharma215,khusape
cefacoc,khusape
UXPAPER,khusape
RamiroMFernand1,khusape
Will_Alvarez,khusape
tatiana170295,khusape
MomFailPodcast,khusape
CAKISANPANDYA,khusape
ahmedalwailly43,khusape
mustafaaidl,khusape
noveliciouss,khusape
FeelThree,khusape
Yhamegroup,khusape
arvindax,khusape
drjoyce_knudsen,khusape
muhamma59993363,khusape
cammipham,TheNextCorner
daniellacardoso,TheNextCorner
michael_hodgdon,TheNextCorner
KONSTANTLAW,TheNextCorner
marcusflemming,TheNextCorner
skylarcwrites,TheNextCorner
cheval_yo,TheNextCorner
tonystubblebine,TheNextCorner
bself4bworld,TheNextCorner
neilhuggan,TheNextCorner
rocklondon1,TheNextCorner
talentdynamics,TheNextCorner
KevinB_Murphy,TheNextCorner
TommySWang,TheNextCorner
jenjacksonme,TheNextCorner
mypassiontest,TheNextCorner
eiupdates,TheNextCorner
RepBright,TheNextCorner
AmbraHensley,TheNextCorner
Sandybillionboy,TheNextCorner
soulphoodie,zkancs
cammipham,zkancs
SullivaChelsea,zkancs
danieljpeter,zkancs
daycamp4devs,zkancs
ansarisaad,zkancs
oneplus1000,zkancs
rvrkj,zkancs
notsu,zkancs
Mohamed3_AboTal,zkancs
DigidustGrowth,zkancs
dwhsieh,zkancs
TechNativeWire,zkancs
orbittest2,zkancs
EmekaData,zkancs
TAanderud,zkancs
JohnKNLL,zkancs
nicolemannann,zkancs
PostManWaz,zkancs
RoboticsAI2018,zkancs
desydolan,ddol
madbunny_911,ddol
AAthifas97,ddol
OBehaveYourself,ddol
coreyfro,ddol
NikhilS50,ddol
jonobacon,ddol
JessRTs_a_lot,ddol
Moviebnb,ddol
mostblue1,ddol
georgbauser,ddol
pmaceoin,ddol
gocountly,ddol
GoodAILab,ddol
bananamagick,ddol
acelr8,ddol
HostedGraphite,ddol
Voxitay,ddol
aslezak,ddol
FXPALResearch,CptPositive
jofish,CptPositive
t0zecorreia,CptPositive
msbernst,CptPositive
scottOfTheSci,CptPositive
ACMIUI,CptPositive
suefussell,CptPositive
IntercultComm,CptPositive
bigdata4people,CptPositive
kkarahal,CptPositive
khai_truong,CptPositive
hciprof,CptPositive
plopesresearch,CptPositive
nediyana,CptPositive
carlagriggio,CptPositive
cosleydr,CptPositive
jeffbigham,CptPositive
mattllee,CptPositive
ideasandinfo,CptPositive
TRock2479,GTRI
karlyoungEC,GTRI
GregYounts,GTRI
rohitvarkey,GTRI
SoufianeEF,GTRI
AubreyDInc,GTRI
patrickocr,GTRI
Omnes_VC,GTRI
EU_ScienceHub,GTRI
GTSolarRacing,GTRI
jimchatfieldjr,GTRI
SynesthCorp,GTRI
advoloastra,GTRI
GaTechWIE,GTRI
cclark_georgia1,GTRI
naz_andalibi,GTRI
ecr_,GTRI
Annakat23878050,GTRI
GAsGreatest,GTRI
keshav_sanjeevi,GTRI
GT_AnnieAnton,kedwards
naz_andalibi,kedwards
bigdata4people,kedwards
MatthewGombolay,kedwards
ICatGT,kedwards
vivianmotti,kedwards
LexusVitamin,kedwards
Shneydave,kedwards
profmikefraser,kedwards
sociallycompute,kedwards
MarinaChong,kedwards
myriadbird,kedwards
thesaadismail,kedwards
Chris_Storm71,kedwards
jr_thomp,kedwards
hide_yourself,kedwards
acmDIS,kedwards
MiJaGourlay,kedwards
Alex_Drunkan,kedwards
rubenharris,goodfellow_ian
laurelsudeep,goodfellow_ian
RominaManoj,goodfellow_ian
alitakin,goodfellow_ian
mljack0001,goodfellow_ian
pdraznik,goodfellow_ian
lebronran23,goodfellow_ian
lajanugen,goodfellow_ian
_davemacdonald,goodfellow_ian
A_Lykhoyda,goodfellow_ian
Singhsanjee,goodfellow_ian
shiladitya1601,goodfellow_ian
kartik_godawat,goodfellow_ian
Jeniffen,goodfellow_ian
Sushovan_haldar,goodfellow_ian
simingsun,goodfellow_ian
nyapari,goodfellow_ian
vvd2101,goodfellow_ian
mljack0000,goodfellow_ian
safina2011,goodfellow_ian
rubenharris,dennybritz
sutanayc,dennybritz
nikhilshekhar,dennybritz
_davemacdonald,dennybritz
samfantweeting,dennybritz
JupyterAI,dennybritz
rajathkmp,dennybritz
rakshpar,dennybritz
saxenauts,dennybritz
hyo_kenmi,dennybritz
dino5aurceror,dennybritz
redmor11,dennybritz
DeepakJ9,dennybritz
mrceperka,dennybritz
IamHasitha95,dennybritz
salvalcantara,dennybritz
prawinMLs,dennybritz
a_fakharany,dennybritz
dinkar_juyal,dennybritz
zzuk_at_aol,dennybritz
